<eps>	sil 
<unk>	spn 
[bracketed]	spn 
[laughter]	spn 
a	ʔ aː˨˥ 
ai	ʔ aː˨˥ j 
am	ʔ aː˨˥ m 
an	ʔ aː˨˥ ŋ 
ang	ʔ aː˨˥ ŋ 
anh	ʔ a˨˥ n 
ao	ʔ aː˨˥ w 
au	ʔ a˨˥ w 
ba	ɓ aː˨˥ 
bai	ɓ aː˨˥ j 
ban	ɓ aː˨˥ ŋ 
bang	ɓ aː˨˥ ŋ 
banh	ɓ a˨˥ n 
bao	ɓ aː˨˥ w 
bay	ɓ a˨˥ j 
be	ɓ ɛː˨˥ 
beo	ɓ ɛː˨˥ w 
bi	ɓ iː˨˨ 
bia	ɓ iə˨˥ 
binh	ɓ i˨˨ ɲ 
bit	ɓ iː˨˨ t 
biên	ɓ iə˨˨ n 
biếc	ɓ iə˦˥ k 
biến	ɓ iə˨˦ n 
biếng	ɓ iə˨˦ ŋ 
biết	ɓ iə˦˥ t 
biếu	ɓ iə˨˦ w 
biền	ɓ iə˨˨ n 
biển	ɓ iə˨˩˨ n 
biểu	ɓ iə˨˩˨ w 
biện	ɓ iə˨˩ˀ n 
biệt	ɓ iə˨˩ t 
bo	ɓ ɔː˨˥ 
boa	ɓ w aː˨˥ 
bom	ɓ ɔː˨˥ m 
bon	ɓ ɔː˨˥ ŋ 
bong	ɓ ɔ˨˥ ŋm 
boong	ɓ ɔː˨˥ ŋ 
bu	ɓ uː˨˨ 
bung	ɓ u˨˥ ŋm 
buôn	ɓ uə˨˨ n 
buông	ɓ uə˨˨ ŋ 
buýt	ɓ w iː˦˥ t 
buốt	ɓ uə˦˥ t 
buồi	ɓ uə˨˨ j 
buồm	ɓ uə˨˨ m 
buồn	ɓ uə˨˨ n 
buồng	ɓ uə˨˨ ŋ 
buổi	ɓ uə˨˩˨ j 
buộc	ɓ uə˨˩ k 
buột	ɓ uə˨˩ t 
bà	ɓ aː˦˨ 
bài	ɓ aː˦˨ j 
bàn	ɓ aː˦˨ ŋ 
bàng	ɓ aː˦˨ ŋ 
bành	ɓ a˦˨ n 
bào	ɓ aː˦˨ w 
bàu	ɓ a˦˨ w 
bày	ɓ a˦˨ j 
bá	ɓ aː˦˥ 
bác	ɓ aː˦˥ k 
bách	ɓ a˦˥ c 
bái	ɓ aː˦˥ j 
bám	ɓ aː˦˥ m 
bán	ɓ aː˦˥ ŋ 
báng	ɓ aː˦˥ ŋ 
bánh	ɓ a˦˥ n 
báo	ɓ aː˦˥ w 
bát	ɓ aː˦˥ k 
báu	ɓ a˦˥ w 
bâng	ɓ ə˨˥ ŋ 
bâu	ɓ ə˨˥ w 
bây	ɓ ə˨˥ j 
bã	ɓ aː˨ˀ˥ 
bãi	ɓ aː˨ˀ˥ j 
bão	ɓ aː˨ˀ˥ w 
bè	ɓ ɛː˦˨ 
bèn	ɓ ɛː˦˨ ŋ 
bèo	ɓ ɛː˦˨ w 
bé	ɓ ɛː˦˥ 
bén	ɓ ɛː˦˥ ŋ 
béo	ɓ ɛː˦˥ w 
bét	ɓ ɛː˦˥ k 
bê	ɓ eː˨˥ 
bên	ɓ eː˨˨ n 
bênh	ɓ e˨˨ ɲ 
bêu	ɓ eː˨˥ w 
bì	ɓ iː˨˨ 
bìa	ɓ iə˦˨ 
bình	ɓ i˨˨ ɲ 
bìu	ɓ iː˨˨ w 
bí	ɓ iː˨˦ 
bích	ɓ i˦˥ c 
bím	ɓ iː˨˦ m 
bính	ɓ i˨˦ ɲ 
bíp	ɓ iː˦˥ p 
bít	ɓ iː˦˥ t 
bíu	ɓ iː˨˦ w 
bò	ɓ ɔː˦˨ 
bòn	ɓ ɔː˦˨ ŋ 
bó	ɓ ɔː˦˥ 
bóc	ɓ ɔ˦˥ kp 
bói	ɓ ɔː˦˥ j 
bón	ɓ ɔː˦˥ ŋ 
bóp	ɓ ɔː˦˥ p 
bót	ɓ ɔː˦˥ k 
bô	ɓ oː˨˥ 
bôi	ɓ oː˨˥ j 
bôm	ɓ oː˨˥ m 
bông	ɓ o˨˨ ŋm 
bõ	ɓ ɔː˨ˀ˥ 
bù	ɓ uː˨˨ 
bùa	ɓ uə˦˨ 
bùi	ɓ uː˨˨ j 
bùm	ɓ uː˨˨ m 
bùn	ɓ uː˨˨ n 
bùng	ɓ u˦˨ ŋm 
bú	ɓ uː˨˦ 
búa	ɓ uə˦˥ 
búi	ɓ uː˨˦ j 
bún	ɓ uː˨˦ n 
búng	ɓ u˦˥ ŋm 
búp	ɓ uː˦˥ p 
bút	ɓ uː˦˥ t 
băm	ɓ a˨˥ m 
băn	ɓ a˨˥ ŋ 
băng	ɓ a˨˥ ŋ 
bĩ	ɓ iː˨ˀ˥ 
bĩu	ɓ iː˨ˀ˥ w 
bơ	ɓ əː˨˥ 
bơi	ɓ əː˨˥ j 
bơm	ɓ əː˨˥ m 
bư	ɓ ɨː˨˨ 
bưng	ɓ ɨ˨˥ ŋ 
bưu	ɓ ɨ˨˥ w 
bươi	ɓ ɨə˨˨ j 
bươu	ɓ ɨə˨˨ w 
bước	ɓ ɨə˦˥ k 
bướm	ɓ ɨə˨˦ m 
bướng	ɓ ɨə˨˦ ŋ 
bướu	ɓ ɨə˨˦ w 
bưởi	ɓ ɨə˨˩˨ j 
bạ	ɓ aː˨˩ 
bạc	ɓ aː˨˩ k 
bạch	ɓ a˨˩ c 
bại	ɓ aː˨˩ j 
bạn	ɓ aː˨˩ ŋ 
bạo	ɓ aː˨˩ w 
bạt	ɓ aː˨˩ k 
bả	ɓ aː˨˨ˀ 
bản	ɓ aː˨˨ˀ ŋ 
bảng	ɓ aː˨˨ˀ ŋ 
bảnh	ɓ a˨˨ˀ n 
bảo	ɓ aː˨˨ˀ w 
bảy	ɓ a˨˨ˀ j 
bấc	ɓ ə˦˥ k 
bấm	ɓ ə˦˥ m 
bất	ɓ ə˦˥ k 
bấu	ɓ ə˦˥ w 
bấy	ɓ ə˦˥ j 
bầm	ɓ ə˦˨ m 
bần	ɓ ə˦˨ ŋ 
bầu	ɓ ə˦˨ w 
bầy	ɓ ə˦˨ j 
bẩm	ɓ ə˨˨ˀ m 
bẩn	ɓ ə˨˨ˀ ŋ 
bẩy	ɓ ə˨˨ˀ j 
